factory,model,year,city,mileage,price
jac,n350,2022,москва,75375,3990000
exeed,lx,2023,краснодарский,19536,2310000
hongqi,e-hs9,2021,санкт-петербург,14917,5460000
shacman,sx42584w324c,2022,тюменская,66264,5610000
faw,j6,2022,ямало-ненецкий,19528,5540000
kaiyi,e5,2023,краснодарский,3613,1450000
faw,j6,2022,ростовская,172406,4210000
exeed,rx,2023,москва,15518,3530000
toyota,land,2022,кемеровская,52067,8180000
камаз,65209,2020,московская,1,5290000
faw,ca,2022,пермский,45672,4790000
faw,ca,2022,архангельская,19024,5090000
faw,j6,2023,саха,50822,6540000
faw,j6,2023,ханты-мансийский,47832,6560000
great,wall,2023,новосибирская,43767,2820000
howo,t5g,2023,санкт-петербург,91479,7290000
faw,ca,2022,пермский,162461,5290000
exeed,rx,2023,москва,31173,3510000
howo,zz,2018,башкортостан,,1720000
камаз,43118,,приморский,23264,9180000
shacman,sx,2022,пермский,32562,6990000
shacman,sx,2022,санкт-петербург,57016,4410000
shacman,sx,2022,пермский,35987,6380000
bmw,ix,2023,москва,13644,8920000
faw,ca,2022,пермский,35408,4820000
6520,6x4,2019,санкт-петербург,88969,2980000
sitrak,c7h,2023,забайкальский,45513,9180000
great,wall,2023,краснодарский,40146,2450000
hongyan,908,2023,татарстан,36346,7700000
shacman,sx,2022,самарская,109262,5620000
shacman,sx,2022,краснодарский,78199,6360000
howo,t5g,2023,башкортостан,57987,7390000
faw,ca,2023,саха,35162,6500000
shacman,sx,2023,ханты-мансийский,72664,6340000
faw,6,2022,ставропольский,66670,5030000
faw,j6,2023,кемеровская,19531,6880000
faw,j6,2023,санкт-петербург,39414,5510000
volvo,fh,2016,московская,1000000,7790000
hongyan,908,2023,приморский,55076,7990000
haval,f7,2023,самарская,59001,2030000
камаз,6520,2022,башкортостан,28265,4370000
shacman,sx,2022,нижегородская,45000,5970000
shacman,sx,2023,ярославская,,7770000
sany,syz320,2022,московская,41110,5150000
faw,ca,2023,башкортостан,147405,5200000
howo,t5g,2023,башкортостан,60642,7360000
shacman,sx,2022,челябинская,53045,7480000
exeed,txl,2022,волгоградская,31744,2860000
sitrak,c7h,2023,красноярский,179105,7320000
камаз,5490,2018,кемеровская,354658,3070000
faw,ca,2022,пермский,40639,5110000
shacman,sx,,пермский,47105,6340000
маз,6516,2021,москва,194495,4080000
faw,j6,2022,нижегородская,,5650000
faw,j6,2022,свердловская,28154,5690000
faw,са3310р66k24t4e5,2022,пермский,25311,5620000
faw,ca,2022,пермский,40639,5110000
faw,j6,2022,забайкальский,39410,5430000
маз,6430,2022,хабаровский,48370,5300000
lixiang,l7,2023,санкт-петербург,10351,7310000
камаз,5490,2017,московская,677127,3180000
shacman,sx,2023,ханты-мансийский,55489,6310000
faw,j6,2022,нижегородская,,5650000
shacman,sx,2022,ульяновская,93875,5220000
mercedes-benz,e-класс,2020,москва,1,5470000
shacman,sx,2022,пермский,69647,5510000
mercedes-benz,e-класс,2020,москва,1,5470000
shacman,sx,2022,ростовская,80165,7660000
faw,j6,2022,,155430,4270000
evolute,i-pro,2022,санкт-петербург,6356,1250000
bmw,7,2020,адыгея,62174,8760000
shacman,sx,2022,мордовия,122517,6050000
shacman,sx,,ростовская,101886,4880000
howo,zz,2022,самарская,,4390000
камаз,6520,2022,башкортостан,52946,4450000
shacman,sx,2022,санкт-петербург,9497,8320000
faw,j6,2022,москва,73528,5400000
маз,2018,2018,москва,333915,1840000
камаз,6580,2021,иркутская,,5650000
bmw,x1,2017,санкт-петербург,128892,2310000
changan,cs85,2022,санкт-петербург,10081,2850000
fawj6,8x4,2022,ростовская,1,4700000
faw,ca,2023,кемеровская,43497,5740000
shacman,x,2023,саха,1,6280000
howo,zz,2023,московская,13714,7060000
exeed,vx,2022,воронежская,42158,2950000
shacman,sx,2023,татарстан,108494,7060000
gaz,gazelle,2021,татарстан,,2200000
маз,5440,2022,московская,38797,4430000
sany,syz320,2022,санкт-петербург,55001,6010000
faw,j6,2022,татарстан,69003,5200000
shacman,sx,2022,пермский,57654,5590000
маз,6501,2020,москва,,2980000
shacman,sx,2023,татарстан,121604,6970000
changan,alsvin,2023,нижегородская,27658,1420000
toyota,land,2023,москва,1,13810000
shacman,sx,2022,пермский,9006,7280000
howo,zz,2023,московская,20356,7020000
faw,j6,2023,ростовская,1,5200000
shacman,sx,2022,пермский,70071,5630000
shacman,sx,2023,татарстан,114812,7020000
faw,j6,2023,мордовия,22151,5090000
faw,ca,2022,ростовская,48663,6300000
faw,j6,2022,ростовская,155927,4160000
маз,6501,2020,москва,,2580000
faw,j6,2022,ростовская,155927,4160000
shacman,sx,2022,самарская,,7580000
камаз,5490,2017,нижегородская,,2540000
камаз,54901,2022,москва,,6520000
shacman,sx,2021,московская,136671,5320000
faw,j6,2023,московская,48345,5430000
shacman,sx,2022,ханты-мансийский,85845,5790000
маз,6312,2018,воронежская,332862,4630000
shacman,sx,2022,иркутская,1,6470000
маз,6501,2022,свердловская,86778,3590000
faw,j6,2022,ростовская,75230,4530000
scania,p,2017,нижегородская,1,4880000
камаз,5490,2017,москва,690206,3080000
камаз,54901,2023,свердловская,75416,7010000
shacman,sx,2022,пермский,124089,5090000
shacman,sx,2022,пермский,73389,5610000
shacman,sx,2022,пермский,124089,5090000
маз.,6501,2020,москва,,2140000
howo,zz,2022,самарская,70633,4150000
faw,j6,2022,нижегородская,16941,5860000
shacman,sx,2022,башкортостан,52214,6040000
shacman,sx,2022,чувашская,44826,6330000
howo,t5g,2022,свердловская,75534,6850000
mercedes-benz,a-класс,2022,москва,1,2190000
камаз,6520,2018,башкортостан,43076,3040000
камаз,5490,2017,московская,,2720000
ваз,vesta,2021,москва,164911,660000
камаз,65206,2012,нижегородская,1,6070000
камаз,65206,2012,нижегородская,1,6070000
changan,cs75plus,2023,адыгея,11461,2480000
faw,j6,2022,забайкальский,,4630000
toyota,hilux,2021,пермский,149916,3910000
shacman,sx,2022,ханты-мансийский,108039,5840000
shacman,sx,2022,санкт-петербург,58390,6450000
faw,j6,2023,саха,59346,6760000
камаз,6520,2021,москва,,4250000
