factory,model,year,city,mileage,price
genesis,g70,2019,москва,107096,2044163
hongqi,e-hs9,2023,москва,12650,9216000
exeed,vx,2023,новосибирск,41485,3987561
geely,tugella,2022,астрахань,16900,3218227
hongqi,e-qm5,2022,санкт-петербург,1543,3508800
hongqi,e-qm5,2022,санкт-петербург,50000,3360000
hongqi,e-qm5,2022,санкт-петербург,10090,3417600
genesis,g70,2019,москва,118434,2131000
voyah,free,2023,краснодар,5771,4881088
exeed,txl,2022,красноярск,22555,2841972
hongqi,e-qm5,2022,санкт-петербург,39734,3158400
hongqi,e-qm5,2022,санкт-петербург,10877,3417600
hongqi,e-qm5,2022,санкт-петербург,5001,3456000
hongqi,e-qm5,2022,санкт-петербург,10634,3417600
hongqi,e-qm5,2022,санкт-петербург,18260,3360000
hongqi,e-qm5,2022,санкт-петербург,9870,3417600
hongqi,e-qm5,2022,санкт-петербург,16029,3360000
mercedes-benz,gls,2021,краснодар,83783,18145000
haval,jolion,2023,казань,9450,2476995
bmw,5,2018,москва,162729,2856960
lada,granta,2021,саранск,71822,680361
haval,jolion,2022,санкт-петербург,65609,1684211
haval,jolion,2022,санкт-петербург,66987,1679506
isuzu,mu-x,2021,балашиха,91421,5159000
chery,tiggo,2023,москва,79,1783627
renault,logan,2021,хабаровск,20237,1221300
lada,niva,2023,хабаровск,30263,857375
chery,tiggo,2023,москва,29013,2294400
haval,jolion,2022,москва,31459,2170000
nissan,qashqai,2019,москва,86294,1673000
volkswagen,touareg,2019,москва,173984,5664000
haval,jolion,2022,краснодар,57473,1998200
genesis,g70,2018,москва,105492,2432000
chery,tiggo,2022,москва,99800,1203000
chery,tiggo,2022,москва,107496,1184000
chery,tiggo,2022,москва,127575,1125200
chery,tiggo,2022,москва,111341,1184000
geely,atlas,2022,москва,96230,1776000
chery,tiggo,2022,балашиха,79862,1498000
chery,tiggo,2022,балашиха,42733,1145000
geely,atlas,2023,москва,101912,1797120
kia,optima,2018,москва,141465,2500000
lada,granta,2022,краснодар,47433,850000
chery,tiggo,2023,москва,100731,1715000
omoda,s5,2023,москва,84521,1530000
geely,atlas,2022,благовещенск,46062,2255000
chery,tiggo,2023,новосибирск,14090,2300000
exeed,vx,2022,ярославль,29942,3440000
omoda,s5,2023,пермь,13285,1780000
tank,300,2023,ростов-на-дону,12465,3830000
volkswagen,polo,2020,москва,100357,1620000
geely,emgrand,2023,москва,56643,1750000
geely,coolray,2023,москва,54397,2050000
geely,atlas,2024,москва,31253,2035000
chery,arrizo,2023,москва,29853,2400000
chery,arrizo,2023,балашиха,46722,2300000
chery,tiggo,2023,москва,61475,2000000
exeed,vx,2023,красноярск,4848,3770000
geely,coolray,2023,балашиха,50756,2050000
geely,coolray,2023,москва,62743,2070000
geely,coolray,2023,москва,84443,1950000
chery,tiggo,2022,балашиха,91421,1230000
chery,tiggo,2022,москва,108016,1147898
geely,coolray,2022,сургут,8552,2312000
chery,tiggo,2023,хабаровск,62,2608128
toyota,camry,2020,москва,36065,3612000
chery,tiggo,2022,москва,100000,1227050
lada,granta,2023,ставрополь,27944,899999
nissan,qashqai,2022,брянск,32299,2650000
chery,tiggo,2023,москва,81789,1728000
kia,rio,2020,москва,31787,1508350
bmw,3,2021,москва,29996,4801500
hyundai,solaris,2021,ставрополь,31665,1784800
volkswagen,touareg,2019,краснодар,160038,5300000
haval,dargo,2023,москва,9709,3007000
haval,f7,2022,москва,35420,2202240
chery,tiggo,2023,москва,109924,1400000
omoda,s5,2023,москва,88503,1468800
hyundai,sonata,2020,самара,63367,3200000
omoda,s5,2023,москва,91576,1468800
chery,tiggo,2023,москва,91919,1450000
chery,tiggo,2022,москва,102569,1198000
chery,tiggo,2022,москва,128173,1138000
chery,tiggo,2022,москва,122299,1290240
chery,tiggo,2022,москва,98182,1382400
geely,tugella,2022,краснодар,34179,3028800
mercedes-benz,e,2018,москва,216386,2592000
hyundai,sonata,2021,москва,36001,2708000
chery,tiggo,2022,москва,69790,1527000
exeed,vx,2022,москва,30150,3519750
chery,tiggo,2022,москва,71448,1527000
chery,tiggo,2022,москва,84710,1540000
lada,vesta,2020,москва,165047,921600
mini,countryman,2020,москва,52430,3277500
exeed,vx,2022,балашиха,35981,3657500
lada,niva,2023,сургут,61039,1104000
genesis,gv80,2022,новосибирск,36443,7410000
chery,tiggo,2022,москва,48265,2185113
lada,granta,2023,ярославль,45938,801600
skoda,octavia,2022,москва,47990,3264000
haval,jolion,2023,новосибирск,7290,2357100
exeed,vx,2023,москва,28824,3550000
hyundai,solaris,2019,москва,181135,1250000
volkswagen,polo,2018,ярославль,213103,910000
hyundai,solaris,2019,москва,214144,1210000
renault,logan,2021,москва,47701,1450000
chery,tiggo,2023,москва,103293,1340000
chery,tiggo,2023,москва,113064,1305000
geely,coolray,2023,москва,85287,1850000
geely,coolray,2023,москва,54958,1950000
volkswagen,polo,2018,москва,195009,875000
chery,tiggo,2023,москва,70642,1885000
hyundai,solaris,2019,москва,238417,1030000
geely,coolray,2023,балашиха,33618,2050000
geely,atlas,2024,москва,31252,2300000
skoda,rapid,2018,москва,181099,1142000
bmw,x6,2021,москва,86781,11262000
hyundai,solaris,2019,москва,251560,1100000
volkswagen,polo,2019,москва,169551,1150000
chery,tiggo,2023,москва,114127,1700000
volkswagen,polo,2019,москва,173957,1120000
volkswagen,polo,2018,москва,205743,850000
chery,tiggo,2023,москва,83174,1660000
hyundai,solaris,2019,балашиха,196203,1200000
volkswagen,polo,2019,москва,162002,1040000
chery,tiggo,2023,москва,38706,2200000
mercedes-benz,s,2019,москва,101342,10050000
chery,tiggo,2023,москва,71347,1870000
chery,arrizo,2023,москва,34117,2285000
chery,arrizo,2023,москва,43756,2215000
geely,emgrand,2023,москва,51259,1685000
geely,atlas,2024,москва,27699,2175000
changan,uni-k,2023,ростов-на-дону,9408,3400000
geely,coolray,2023,москва,27074,2035000
haval,jolion,2023,ульяновск,21401,2060000
chery,tiggo,2023,москва,32847,2130000
chery,tiggo,2023,москва,46484,2045000
haval,jolion,2023,москва,36218,2145000
chery,tiggo,2023,москва,43277,2080000
chery,tiggo,2022,москва,63547,1780000
belgee,x50,2024,москва,24332,2050000
renault,arkana,2020,москва,41811,2064000
changan,alsvin,2023,москва,18912,1400000
belgee,x50,2024,москва,19916,1990000
changan,cs85,2023,новосибирск,22563,3223000
changan,alsvin,2023,москва,24313,1320000
geely,coolray,2023,москва,61854,1780000
chevrolet,tahoe,2023,самара,54848,11235000
belgee,x50,2024,москва,29998,1924000
volkswagen,polo,2019,москва,180336,865000
geely,emgrand,2023,москва,47603,1635000
changan,alsvin,2023,москва,28969,1283000
changan,alsvin,2023,москва,23630,1320000
changan,alsvin,2023,москва,31702,1290000
geely,coolray,2023,москва,54958,1950000
geely,coolray,2023,москва,20675,2100000
kia,sportage,2022,кемерово,6529,4280000
geely,atlas,2024,москва,31879,2155000
volvo,xc60,2019,москва,170799,3150000
zeekr,001,2023,москва,2571,6746112
renault,duster,2022,волгоград,8611,2171796
changan,uni-k,2023,москва,36745,2945000
chery,tiggo,2023,новосибирск,8783,2010000
exeed,lx,2022,москва,30240,2160000
lada,largus,2019,москва,83433,1135000
gac,gs8,2023,москва,41708,3448500
changan,uni-k,2023,ростов-на-дону,7628,3500000
volkswagen,polo,2019,балашиха,154635,1060000
chery,tiggo,2023,балашиха,28804,2145000
chery,tiggo,2023,москва,14526,2235000
chery,tiggo,2023,москва,31680,2135000
toyota,camry,2021,москва,47212,3610000
volkswagen,polo,2018,балашиха,217159,900000
geely,emgrand,2023,москва,43967,1800000
volkswagen,polo,2018,балашиха,282123,850000
geely,emgrand,2023,москва,44076,1720000
chery,tiggo,2023,москва,36186,2065000
bmw,x4,2021,краснодар,41445,8570000
omoda,s5,2023,москва,112012,1460000
belgee,x50,2024,москва,37012,1950000
volkswagen,polo,2019,москва,155011,1100000
hyundai,solaris,2019,москва,205747,1105000
geely,coolray,2023,москва,48845,2050000
chery,tiggo,2023,москва,56186,2050000
geely,atlas,2024,москва,24242,2300000
geely,atlas,2024,москва,31470,2250000
volkswagen,polo,2019,москва,154881,1060000
kia,optima,2019,москва,209929,1670000
geely,atlas,2024,москва,23636,2200000
geely,coolray,2023,москва,54399,2050000
geely,coolray,2023,москва,53607,1950000
belgee,x50,2023,москва,29445,1990000
belgee,x50,2024,москва,56186,1990000
lada,granta,2023,ижевск,17559,1060000
geely,coolray,2022,нижневартовск,17394,2244000
chery,arrizo,2023,москва,55696,2140000
geely,atlas,2024,москва,39398,2200000
geely,coolray,2023,москва,82950,1850000
volkswagen,polo,2019,москва,148108,1060000
chery,tiggo,2023,москва,43654,2035000
lada,vesta,2023,москва,14094,1450000
audi,e-tron,2021,москва,21,10344645
hyundai,solaris,2019,санкт-петербург,263808,1010000
haval,m6,2023,ульяновск,28951,1850000
kia,k5,2020,самара,47378,3022000
geely,atlas,2024,москва,27891,2175000
geely,coolray,2023,москва,53681,1820000
changan,alsvin,2023,москва,44751,1217000
lada,niva,2023,красноярск,47013,1120000
lada,vesta,2022,красноярск,101598,1070000
toyota,camry,2023,москва,70354,4420000
lada,vesta,2022,красноярск,81035,1330000
toyota,rav4,2021,красноярск,26762,4500000
geely,atlas,2024,москва,27699,2175000
chery,tiggo,2023,москва,59522,1997000
mercedes-benz,s,2019,москва,192451,6600000
geely,atlas,2023,москва,58210,2180000
geely,coolray,2023,москва,46471,1850000
geely,tugella,2023,оренбург,55279,3839990
toyota,corolla,2023,москва,26022,2900000
volkswagen,polo,2019,балашиха,194372,1100000
volkswagen,polo,2019,москва,190626,1000000
audi,a3,2018,балашиха,181846,1850000
kia,k5,2020,москва,152718,2250000
omoda,s5,2023,москва,52263,1463000
hyundai,santa,2022,сургут,38552,5200000
omoda,s5,2023,балашиха,38525,1650000
kia,rio,2019,балашиха,177015,1250000
hyundai,elantra,2019,москва,152933,1585000
hyundai,elantra,2019,балашиха,136660,1700000
volkswagen,polo,2019,москва,213195,980000
hyundai,elantra,2019,москва,93342,1800000
bmw,x1,2019,москва,143488,1935000
volkswagen,polo,2019,москва,49737,1290000
mercedes-benz,cla,2019,москва,149595,2300000
omoda,c5,2023,москва,74233,1385000
hyundai,creta,2019,балашиха,294583,1340000
hyundai,creta,2019,балашиха,160056,1500000
lada,niva,2023,красноярск,26148,990000
omoda,s5,2023,москва,79596,1367000
lexus,rx,2021,москва,47657,7350000
hyundai,creta,2019,москва,251262,1340000
volkswagen,tiguan,2018,москва,91985,2625000
haval,h9,2021,москва,91985,3013000
kia,rio,2019,москва,200304,1064000
hyundai,creta,2019,москва,189849,1450000
hyundai,creta,2019,ярославль,193628,1450000
kia,cerato,2021,балашиха,177531,2100000
toyota,land,2021,барнаул,26376,5900000
volkswagen,polo,2019,балашиха,163127,1015000
omoda,s5,2023,балашиха,39354,1515000
haval,f7,2022,новокузнецк,145073,1800000
hyundai,creta,2019,балашиха,160549,1500000
kia,rio,2019,балашиха,156568,1130000
kia,rio,2019,балашиха,220163,1090000
geely,coolray,2023,нижний новгород,23941,2091000
toyota,camry,2021,краснодар,184175,3300000
haval,jolion,2022,калуга,37576,2014000
lada,vesta,2022,самара,112423,1090000
toyota,rav4,2022,москва,34818,4150000
chery,tiggo,2022,москва,47279,2420000
genesis,g70,2019,санкт-петербург,119919,1985500
hongqi,e-qm5,2022,санкт-петербург,26444,3235200
hongqi,e-qm5,2022,санкт-петербург,30957,3187200
haval,jolion,2022,санкт-петербург,79467,1625875
haval,jolion,2022,санкт-петербург,53089,1717142
haval,jolion,2022,санкт-петербург,63770,1690797
exeed,vx,2022,нижний новгород,18380,3520000
haval,jolion,2022,санкт-петербург,72390,1641870
omoda,c5,2022,санкт-петербург,15537,2400000
chery,tiggo,2023,челябинск,16009,2295960
hyundai,santa,2021,якутск,30454,3796719
exeed,txl,2023,тюмень,10017,3375350
lada,granta,2022,нижний новгород,38294,806000
lada,granta,2022,нижний новгород,36214,806000
lada,granta,2022,нижний новгород,34098,779000
lada,granta,2022,нижний новгород,26654,814000
lada,granta,2022,нижний новгород,45694,770000
lada,granta,2022,нижний новгород,35065,779000
lada,granta,2022,нижний новгород,22894,814000
skoda,octavia,2018,новосибирск,105746,1799000
land,rover,2022,москва,66273,5700000
haval,jolion,2023,москва,73267,1915000
chery,tiggo,2023,ростов-на-дону,33300,1725000
toyota,camry,2024,уфа,12742,4722000
omoda,c5,2023,пенза,19070,2340000
geely,atlas,2022,москва,46915,2300000
chery,tiggo,2023,москва,65,1887840
chery,tiggo,2023,москва,80,1783627
bmw,x5,2021,москва,122432,6800000
haval,h9,2022,киров,81747,3120000
skoda,octavia,2021,новосибирск,105168,2034893
lada,granta,2022,уфа,118201,728064
kia,sorento,2020,новосибирск,201910,2877236
jac,j7,2022,новосибирск,67965,1538763
geely,coolray,2023,новосибирск,8966,2184192
haval,jolion,2023,новосибирск,8984,1994708
haval,f7x,2022,казань,61734,2220150
haval,jolion,2023,санкт-петербург,36592,1957072
haval,jolion,2023,санкт-петербург,40185,2084093
genesis,g70,2019,санкт-петербург,111199,2280000
haval,f7,2021,новосибирск,82500,2198400
haval,f7x,2022,пермь,63802,2147000
omoda,c5,2022,санкт-петербург,12700,2323200
chery,tiggo,2022,москва,111341,1204740
geely,atlas,2022,москва,88157,1795200
chery,tiggo,2022,москва,94614,1440000
exeed,vx,2023,санкт-петербург,110385,2976000
lada,granta,2021,красноярск,130532,789120
lada,granta,2021,красноярск,140995,777600
kia,ceed,2023,пермь,12641,2620800
toyota,land,2021,тюмень,86659,11225000
mitsubishi,pajero,2022,тюмень,8048,5436518
mazda,mazda6,2022,кемерово,150110,3150000
volkswagen,polo,2022,новосибирск,80772,1900000
lada,vesta,2018,самара,109937,1050000
volkswagen,polo,2022,самара,83095,1788000
jetour,dashing,2023,санкт-петербург,29592,2411000
land,rover,2020,санкт-петербург,94990,5000000
geely,tugella,2022,санкт-петербург,46544,3240000
skoda,octavia,2018,санкт-петербург,173081,1580000
kia,sportage,2022,новосибирск,74129,3472600
geely,coolray,2022,омск,19992,2242000
jac,j7,2023,самара,80358,1780000
chery,tiggo,2023,челябинск,41771,2100000
hyundai,solaris,2019,москва,205284,1100000
omoda,c5,2023,новосибирск,11306,2240000
volkswagen,polo,2019,санкт-петербург,150635,1055000
volkswagen,polo,2018,санкт-петербург,247009,800000
volkswagen,polo,2019,балашиха,118175,1040000
haval,f7,2022,санкт-петербург,50898,2140000
volkswagen,polo,2018,москва,195427,900000
volkswagen,polo,2018,балашиха,242490,860000
kia,rio,2021,красноярск,83878,1930000
haval,jolion,2022,новосибирск,26640,2000000
volkswagen,polo,2019,москва,174386,980000
kia,rio,2022,кемерово,80718,1960000
haval,h9,2022,уфа,72843,3050000
geely,emgrand,2023,москва,56643,1745000
chery,tiggo,2023,москва,29618,2145000
chery,tiggo,2023,москва,48000,2045000
chery,tiggo,2023,балашиха,92478,1660000
volkswagen,polo,2019,москва,141788,1000000
geely,coolray,2023,москва,48425,1845000
chery,tiggo,2023,балашиха,38138,2095000
exeed,txl,2022,москва,31361,2865000
kia,rio,2019,москва,175269,1090000
haval,jolion,2023,ростов-на-дону,66632,1750000
kia,k5,2022,ставрополь,50915,2850000
volkswagen,polo,2018,санкт-петербург,160894,950000
haval,f7x,2023,нижний новгород,48255,2225000
toyota,corolla,2022,санкт-петербург,82671,2415000
lada,vesta,2023,ставрополь,20259,1290000
jaecoo,j7,2023,екатеринбург,15694,2670000
skoda,superb,2019,казань,209643,1733000
skoda,rapid,2019,санкт-петербург,117723,1085076
lada,granta,2021,челябинск,67500,689236
chery,tiggo,2023,хабаровск,11472,2649600
lada,granta,2022,сургут,64775,816000
mercedes-benz,g,2015,москва,110608,7205750
renault,duster,2020,магадан,85795,1595000
changan,uni-t,2022,москва,36757,2375000
kia,sorento,2022,челябинск,82245,4495000
volkswagen,polo,2018,челябинск,233901,850000
chery,tiggo,2023,оренбург,78929,1640000
geely,coolray,2023,казань,18000,2067000
chery,arrizo,2023,ижевск,11935,2485000
hyundai,solaris,2019,москва,245477,1065000
haval,h9,2022,москва,39107,3300000
lada,niva,2023,иркутск,59433,1200000
chery,tiggo,2023,москва,79512,1650000
changan,alsvin,2023,москва,48480,1217000
москвич,3,2023,казань,5500,1585000
lada,granta,2023,чита,18615,1050000
lada,granta,2023,чита,4248,1074000
lada,granta,2023,чита,10303,1018000
lada,granta,2023,чита,7836,1019000
lada,granta,2023,чита,12435,1010000
lada,niva,2022,чита,7898,833000
lada,niva,2022,чита,3920,830000
lada,niva,2022,чита,5881,830000
lada,niva,2022,чита,6185,836000
lada,niva,2022,сургут,60933,955000
kia,optima,2019,москва,196460,950000
changan,uni-t,2023,казань,29447,2103000
уаз,patriot,2021,красноярск,52337,1534250
changan,alsvin,2023,кемерово,31063,1301500
lada,granta,2022,нижний новгород,50000,705000
land,rover,2021,новосибирск,40000,3363000
haval,jolion,2022,екатеринбург,35681,2115000
renault,duster,2021,магадан,99999,1470000
audi,q3,2020,челябинск,45725,3420475
mercedes-benz,cla,2019,брянск,140700,2500000
mercedes-benz,e,2018,москва,209051,2100000
volkswagen,polo,2018,москва,1,735000
chery,tiggo,2023,москва,85257,1318000
chery,tiggo,2023,казань,81000,1745000
land,rover,2020,москва,161400,3080000
volkswagen,polo,2019,москва,200000,720000
volkswagen,polo,2018,москва,255898,855000
geely,coolray,2023,москва,40985,1770000
geely,tugella,2023,барнаул,32793,3562000
chery,tiggo,2023,москва,40610,1730000
камаз,6520-53,2021,казань,58862,4138000
howo,zz3327s3847e,2020,москва,109286,3805000
shacman,sx33186t366c,2021,москва,166112,5000000
маз,650128-8520-000,2018,москва,300000,1882000
маз,6317f9-571-051,2023,чернушка,5360,6872537
маз,650128-8520-000,2018,москва,300000,2028000
shacman,sx331863366,2021,москва,128495,3920000
камаз,65115-23,2023,ростов-на-дону,1847,7220000
маз,650128-8520-000,2018,москва,363818,2098000
маз,650128-8520-000,2018,москва,100000,2004000
shacman,sx32586w385с,2022,новый уренгой,65117,6859468
shacman,sx32586w385с,2022,новый уренгой,51240,7641000
faw,ca3250p66k24t1e5,2022,москва,5939,5600000
howo,zz3407s3867е,2020,калуга,214466,3852250
faw,ca3310p66k24t4e5,2022,ростов-на-дону,51661,5667700
faw,ca3310p66k24t4e5,2022,санкт-петербург,81760,5518787
камаз,6520-b5,2022,краснодар,48682,5143000
faw,ca3250p66k24l1te5,2023,якутск,7365,7499775
shacman,sx32586t384c,2022,москва,99732,5285000
shacman,sx3318dt366,2021,ростов-на-дону,99833,4262400
jac,n350,2022,москва,85544,4315000
howo,zz3407s3867e,2021,москва,154343,5893000
shacman,sx33186w366c,2022,ростов-на-дону,149121,4944000
shacman,sx3318dt366,2022,краснодар,77263,6620000
man,tgx,2020,ставрополь,373212,10669806
faw,ca3310p66k24t4e5,2021,москва,205675,3995367
маз,6317f9-571-051,2021,москва,20000,2408490
faw,ca3310p66k24t4e5,2021,москва,152033,4286875
faw,ca3310p66k24t4e5,2022,новокузнецк,111624,5135225
mercedes-benz,actros,2019,москва,123954,9025966
shacman,sx32586w385с,2021,ростов-на-дону,83800,6108926
mercedes-benz,actros,2019,москва,143159,9754214
челябинец,кс-55732-31,2022,усть-кут,13580,13695437
маз,643019-1420-021,2016,ростов-на-дону,635669,2478000
маз,643028-520-012,2022,москва,100000,5450000
sitrak,c7h,2022,краснодар,124833,7564492
volvo,fm,2019,новосибирск,251203,8543232
scania,p,2017,новокузнецк,337891,6193152
howo,zz3407s3867e,2022,самара,90293,6819840
shacman,sx331863366,2022,самара,42831,8570880
shacman,sx42584w324c,2022,москва,228224,5806080
howo,zz3317v386ge1,2022,батайск,63527,7585200
shacman,sx42584w324c,2022,москва,236943,5806080
scania,p,2021,самара,350000,12625920
scania,p,2021,самара,497670,11612160
howo,zz3317v386ge1,2021,самара,197128,6619852
shacman,sx42584v324,2022,москва,167763,5884416
scania,p,2021,самара,537104,11335680
shacman,sx42584w324c,2022,москва,168080,6225408
shacman,sx33186w366c,2022,кемерово,81922,7123200
маз,6430в9-1420-012,2017,красноярск,243082,2482236
shacman,sx33186t366c,2021,новокузнецк,100000,5537341
shacman,sx3258dr384,2021,новокузнецк,112133,5042165
shacman,sx33186t366c,2021,новокузнецк,82232,5460203
mercedes-benz,arocs,2020,новокузнецк,100000,10766960
shacman,sx33186t366,2020,новокузнецк,100000,5509969
shacman,sx33186t366,2020,новокузнецк,122155,5266944
shacman,sx33186t366,2020,новосибирск,100000,3820401
mercedes-benz,arocs,2021,новокузнецк,182571,10183680
scania,p,2019,новосибирск,252121,8350618
shacman,sx3318dt366,2021,новокузнецк,55824,5734195
shacman,sx32586t384,2021,иркутск,57352,5598720
маз,6501c9-8520-005,2020,москва,300000,2497000
faw,ca3250p66k2t1e5,2022,брянск,43756,5165000
shacman,sx33186v366,2022,красноярск,140764,6013440
faw,ca3310p66k24t4e5,2022,кемерово,238017,5042000
faw,ca3310p66k24t4e5,2022,кемерово,228569,4776600
маз,6317f9-571-051,2023,чернушка,,6905000
scania,p,2021,самара,341063,12902400
howo,zz3407s3867e,2022,самара,109830,6635520
howo,zz3407s3867е,2022,нижний новгород,88481,5718528
shacman,sx32586w385с,2022,москва,29132,7077888
scania,p,2021,самара,454220,11704320
faw,ca3310p66k24t4e5,2022,кемерово,174696,5586000
камаз,6520-53,2022,москва,49248,4566528
клинцы,пкс-55713-5к-4в,2022,новокузнецк,35751,8435000
faw,ca3250p66k24t1e5,2022,москва,28572,5661382
shacman,sx42586v385,2023,усть-кут,31905,8616960
foton,auman,2017,воронеж,852658,3250000
foton,auman,2017,воронеж,1059686,3150000
камаз,6520-53,2022,воронеж,18235,5097600
shacman,sx42586v385,2023,усть-кут,39178,7372800
камаз,6520-53,2022,воронеж,25984,4838400
камаз,6520-53(e5),2022,москва,19220,6756295
камаз,6520-53,2022,москва,48153,4575744
faw,ca3310p66k24t4e5,2022,новокузнецк,65655,5694775
faw,ca3310p66k24t4e5,2022,москва,97716,7950000
камаз,6520-53,2022,кемерово,13690,4613991
shacman,sx33186v366,2022,новокузнецк,54194,7082496
shacman,sx33186w366c,2022,москва,54142,6912000
faw,ca3250p66k24t1e5,2022,москва,98727,4828375
faw,ca3310p66k24t4e5,2022,новокузнецк,106207,5003460
shacman,sx331863366,2022,новосибирск,124012,6971904
sitrak,c7h,2022,москва,173497,6395904
shacman,sx42584w324c,2022,москва,123592,6386688
faw,ca3250p66k24t1e5,2022,ставрополь,52711,5250000
faw,ca3310p66k24t4e5,2023,ставрополь,44146,6180000
howo,zz3407s3867е,2020,калуга,169514,5050000
камаз,53504-50,2022,иркутск,28882,7216128
faw,ca3310p66k24t4e5,2022,новокузнецк,104581,4975843
shacman,sx32586t384,2021,москва,61000,6044129
shacman,sx3258dr384,2022,москва,17678,5007605
howo,zz3317v386ge1,2022,самара,109581,7630848
камаз,65801-т5,2021,москва,88300,6486042
камаз,6520-53,2020,москва,91661,2471000
howo,zz3407s3867e,2022,москва,88962,5741000
маз,650128-8570-000,2022,москва,28180,4478976
faw,ca3310p66k24t4e5,2022,москва,145300,4963750
shacman,sx33186t366,2022,москва,197288,4608000
маз,650128-8570-000,2022,москва,56336,4657305
man,tgx,2015,москва,789781,6990416
shacman,sx32586v385,2023,воронеж,27633,7963000
faw,ca3250p66k2t1e5,2022,москва,74574,4727808
faw,ca3250p66k24t1e5,2022,москва,32316,5661382
shacman,sx33186w366c,2022,балашиха,50071,6469632
faw,ca3250p66k24t1e5,2022,москва,88098,4830000
jac,n,2022,казань,213194,4885000
shacman,sx32586v384,2022,москва,112806,6064128
faw,ca3250p66k24t1e5,2022,москва,104975,4830000
sitrak,с7н,2023,пермь,102671,7899000
faw,ca3310p66k24t4e5,2022,новокузнецк,111708,5315725
faw,ca3310p66k24t4e5,2022,новокузнецк,71179,5672754
shacman,sx32586t384c,2022,саратов,22569,8202240
паз,320530-04,2022,саратов,2147,3862700
sitrak,c7h,2022,москва,253319,5529600
faw,ca3310p66k24t4e5,2022,новосибирск,111635,5700000
маз,6501c9-8520-005,2020,москва,208371,2488320
mercedes-benz,actros,2017,москва,1158092,6464923
howo,zz3407s3867e,2022,москва,50000,3702621
shacman,sx331863366,2022,курск,61458,7317504
shacman,sx331863366,2022,якутск,30470,8389785
shacman,sx331863366,2022,якутск,28067,8367390
sitrak,c7h,2022,москва,235641,5667840
shacman,sx33186v366,2022,якутск,48494,7023697
shacman,sx33186v366,2022,якутск,48494,7075123
howo,zz3407s3867е,2022,нижний новгород,84900,5718528
shacman,sx32586t384,2021,ростов-на-дону,44951,5097700
howo,zz3257v384ge1,2021,ростов-на-дону,44824,5543600
faw,ca3310p66k24t4e5,2022,ростов-на-дону,120641,4486650
faw,ca3310p66k24t4e5,2022,ростов-на-дону,118191,4501250
hongyan,cq3406hv39,2022,усинск,100000,5753438
faw,ca3250p66k2t1e5,2022,москва,84442,5341593
faw,ca3310p66k24t4e5,2022,ростов-на-дону,136521,4501250
faw,ca3310p66k24t4e5,2022,ростов-на-дону,134697,4419800
камаз,6522-027,2017,краснодар,99500,3707109
